CMC_id,CMC_rank,name,ticker,source_code,mod_source,type,forge,repo,notes,stars
3718,61,BitTorrent,BTT,https://github.com/bittorrent,,token,github,bittorrent,token on TRON,
2694,62,Nexo,NEXO,https://github.com/nexofinance/NEXO-Token,,,github,nexofinance/NEXO-Token,,59
2499,63,SwissBorg,CHSB,https://github.com/SwissBorg,,token,github,SwissBorg,token on Ethereum,
5864,64,yearn.finance,YFI,https://github.com/yearn/yearn-protocol,y,,github,yearn/yearn-protocol,,
2700,65,Celsius,CEL,https://github.com/CelsiusNetwork/celsius-js-sdk,y,,github,CelsiusNetwork/celsius-js-sdk,,16
5617,66,UMA,UMA,https://github.com/UMAprotocol/protocol,y,,github,UMAprotocol/protocol,,160
1727,67,Bancor,BNT,https://github.com/bancorprotocol/contracts-solidity,y,,github,bancorprotocol/contracts-solidity,,53
1817,68,Voyager Token,VGX,private,y,,private,,formerly ETHOS,
4558,69,Flow,FLOW,https://github.com/onflow/flow-go,y,,github,onflow/flow-go,,29
2539,70,Ren,REN,https://github.com/renproject/ren-js,y,,github,renproject/ren-js,,53
1697,71,Basic Attention Token,BAT,https://github.com/brave-intl/bat-go,y,token,github,brave-intl/bat-go,,19
1966,72,Decentraland,MANA,https://github.com/decentraland/catalyst-owner,y,,github,decentraland/catalyst-owner,,1
2135,73,Revain,REV,https://github.com/Revain,,token,github,Revain,,
2099,74,ICON,ICX,https://github.com/icon-project/goloop,y,,github,icon-project/goloop,,8
1274,75,Waves,WAVES,https://github.com/wavesplatform/Waves,y,,github,wavesplatform/Waves,,1185
3513,76,Fantom,FTM,https://github.com/Fantom-foundation/go-lachesis,y,,github,Fantom-foundation/go-lachesis,,77
1896,77,0x,ZRX,https://github.com/0xProject/0x-monorepo,y,,github,0xProject/0x-monorepo,,941
7129,78,TerraUSD,UST,https://github.com/terra-project/core,y,,github,terra-project/core,,163
3897,79,OKB,OKB,private,y,token,private,,OKEx token,
3964,80,Reserve Rights,RSR,https://github.com/reserve-protocol/smart-contracts,y,,github,reserve-protocol/smart-contracts,fork of Kyber Network,5
4847,81,Stacks,STX,https://github.com/blockstack/stacks-blockchain,y,,github,blockstack/stacks-blockchain,,245
109,82,DigiByte,DGB,https://github.com/DigiByte-Core/digibyte,y,,github,DigiByte-Core/digibyte,,15
2566,83,Ontology,ONT,https://github.com/ontio/ontology,y,,github,ontio/ontology,,1029
3330,84,Paxos Standard,PAX,https://github.com/paxosglobal/pax-contracts,,SC,github,paxosglobal/pax-contracts,,60
5777,85,renBTC,RENBTC,https://github.com/renproject/ren-js,y,,github,renproject/ren-js,,53
5567,86,Celo,CELO,https://github.com/celo-org/celo-monorepo,,,github,celo-org/celo-monorepo,,242
2405,87,IOST,IOST,https://github.com/iost-official/go-iost,y,,github,iost-official/go-iost,,362
1808,88,OMG Network,OMG,https://github.com/omgnetwork/plasma-contracts,y,,github,omgnetwork/plasma-contracts,layer 2 ETH scaling,16
1567,89,Nano,NANO,https://github.com/nanocurrency/nano-node,y,,github,nanocurrency/nano-node,,420
1934,90,Loopring,LRC,https://github.com/Loopring/protocols,y,,github,Loopring/protocols,,222
1042,91,Siacoin,SC,https://gitlab.com/NebulousLabs/Sia,y,,gitlab,NebulousLabs/Sia,,
2603,92,Pundi X,NPXS,https://github.com/pundix,y,,github,pundix,,
1684,93,Qtum,QTUM,https://github.com/qtumproject/qtum,,,github,qtumproject/qtum,,1269
3945,94,Harmony,ONE,https://github.com/harmony-one/harmony,y,,github,harmony-one/harmony,,341
8104,95,1inch,1INCH,https://github.com/1inch/1inchProtocol,y,,github,1inch/1inchProtocol,,
3911,96,Ocean Protocol,OCEAN,https://github.com/oceanprotocol/market,y,,github,oceanprotocol/market,,24
6951,97,Reef,REEF,https://github.com/reef-defi,y,,github,reef-defi,runs on polkadot,
2083,98,Bitcoin Gold,BTG,https://github.com/BTCGPU/BTCGPU,,,github,BTCGPU/BTCGPU,,698
3783,99,Ankr,ANKR,https://github.com/Ankr-network/dccn-common,y,,github,Ankr-network/dccn-common,,14
4779,100,HUSD,HUSD,private,y,,private,,stable coin; no github,
6538,101,Curve DAO Token,CRV,https://github.com/curvefi/curve-dao-contracts/tree/master/doc,,,github,curvefi/curve-dao-contracts/tree/master/doc,,
1698,102,Horizen,ZEN,https://github.com/HorizenOfficial,,,github,HorizenOfficial,,
